SCHOOL NAME,DEFINITION,PRIMARY ADDRESS,LAT,LON
LITTLE VILLAGE CAMPUS,Public Schools,3120 S KOSTNER AV,41.8354286,-87.73565289999999
Marshall Metro HS,Public Schools,3250 W Adams St,41.8790699,-87.70656199999999
Walter Payton,Public Schools,1034 N Wells St,41.9018199,-87.6355265
Westinghouse HS,Public Schools,3301 W Franklin Bl,41.8900234,-87.70987140000001
Lake View HS,Public Schools,4015 N Ashland Av,41.9551713,-87.668517
Lane Tech HS,Public Schools,2501 W Addison St,41.945431,-87.690618
Foreman HS,Public Schools,3235 N Leclaire Av,41.9397716,-87.7527327
Sullivan HS,Public Schools,6631 N Bosworth Av,42.0028084,-87.6689166
Chicago International Northtown,Public Schools,3900 W Peterson Av,41.9910317,-87.7275294
Mather HS,Public Schools,5835 N Lincoln Av,41.988255,-87.7007878
Taft HS,Public Schools,6545 W Hurlbut St,41.9855793,-87.79169470000001
Northside College Prep,Public Schools,5501 N Kedzie Av,41.9812005,-87.7079477
Amundsen HS,Public Schools,5110 N Damen Av,41.9750696,-87.6800719
Steinmetz HS,Public Schools,3030 N Mobile Av,41.935631,-87.78415199999999
Kelvyn Park HS,Public Schools,4343 W Wrightwood Av,41.9272439,-87.7359639
Lincoln Park HS,Public Schools,2001 N Orchard St,41.9193918,-87.6455484
Prosser Vocational HS,Public Schools,2148 N Long Av,41.9191471,-87.76171649999999
Noble Street Charter,Public Schools,1400 W Augusta Bl,41.9000176,-87.6627352
Orr HS,Public Schools,730 N Pulaski Rd,41.8941496,-87.72646209999999
Clark Middle,Public Schools,5101 W Harrison St,41.87254069999999,-87.7527211
Austin HS,Public Schools,231 N Pine Av,41.885368,-87.762958
Acad of Comm & Technology,Public Schools,4319 W Washington Bl,41.88147,-87.73380639999999
Farragut HS,Public Schools,2345 S Christiana Av,41.84955069999999,-87.70817869999999
Dunbar Vocational HS,Public Schools,3000 S Dr Martin Luther King Jr Dr,27.741083,-82.6462169
Wells HS,Public Schools,936 N Ashland Av,41.8992343,-87.6683628
Senn Metro Acad,Public Schools,5900 N Glenwood Av,41.9890085,-87.6667674
Roosevelt HS,Public Schools,3436 W Wilson Av,41.9650389,-87.7144907
Ramirez Computer Science,Public Schools,2431 N Western Av,41.9257909,-87.6873245
Ace Tech Charter,Public Schools,5410 S State St,41.7959341,-87.62653829999999
Youth Connections Charter School,Public Schools,10 W 35th St,41.8313967,-87.6272292
North-Grand,Public Schools,4338 W Wabansia Ave,41.9124219,-87.7349604
School Of Entrepeneurship,Public Schools,7627 S Constance Ave,41.7563015,-87.57936029999999
Hyde Park H S,Public Schools,6220 S Stony Island Av,41.7821025,-87.5870796
Hancock,Public Schools,4034 W 56th St,39.8541139,-86.19763259999999
Clemente Community HS,Public Schools,1147 N Western Av,41.9026513,-87.6861165
Chicago Military Acad,Public Schools,3519 S Giles Av,41.8301051,-87.6189808
Phillips Acad,Public Schools,244 E Pershing Rd,41.8243586,-87.61980059999999
Kelly HS,Public Schools,4136 S California Av,41.8183203,-87.69485890000001
King HS,Public Schools,4445 S Drexel Bl,41.8138791,-87.6027457
Cregier Multiplex,Public Schools,2040 W Adams St,41.8790889,-87.67841709999999
Crane Tech HS,Public Schools,2245 W Jackson Bl,41.876853,-87.683244
Jones HS,Public Schools,606 S State St,41.8743777,-87.627972
Manley HS,Public Schools,2935 W Polk St,41.8704946,-87.7004769
Collins HS,Public Schools,1313 S Sacramento Dr,41.8643835,-87.7013284
